event_name,event_id,registrations
CITY MAESTRO,TSCEH02,8
Morse's Laser ,TSCEH06,13
HOW I MET YOUR TREASURE,TSCCE09,52
NFT Design,TSCCE06,15
VR Gaming,TSCCE11,64
Bike Show,TSCCE08,5
Bridge-o-mania,TSCEH01,17
Blank Coding,TSCGC06,10
Hovermania,TSCMM07,15
Squid Game,TSCCE07,18
ANADIGILOGIX,TSCEH04,2
Quiz me more,TSCCE02,21
LFR,TSCMM03,11
Blazing Wheels,TSCMM04,4
save the egg,TSCEH03,17
Fun fare,TSCCE10,85
SITUATION ROOM,TSCCE04,32
Thread Ripper,TSCMM13,10
Celebrity Talk,TSCCE12,133
Red Pencil,TSCGC04,6
Laser-O-Reflect,TSCCE05,42
Soccerbot,TSCMM02,9
CIRCUIT TROUBLE,TSCEH05,8
Water Rocket,TSCFH02,11
JUNKYARD ,TSCCE01,39
Kya Engineer Banega re tu?,TSCMM06,19
RUN TIME TERROR,TSCGC01,20
Break the code,TSCGC02,9
Programming Date,TSCGC07,33
Simulation,TSCFH01,5
RASTERIZE,TSCGC03,9
Tech Expo,TSCCE03,12
Free Flight,TSCFH03,3
FLIP-O-FRIEND,TSCGC05,14
    Path Pradarshak,TSCMM15,1
